01POL NAREFF                                               19790812980485390K
02CALLE MORIOH                          45896EGIPTO          TOKIO           
0330581280673451098765+0000058475T            5587423619874512+00000050120426
0346573837464547575858+0000015896A            9465859384756576+00000017630723
04SEGUROS SANTALUCIA     30581280673451098765C-000000567820200118082355000000
04MASSIMO DUTI           9465859384756576    T-000000349620190307092305000000
04NOMINA POL             30581280673451098765C+000015560020200620105655000000
01IGGY THE FOOL                                            19500217086547834J
0330588636435000730180+0000002001C                                           
04MERCADONA              30588636435000730180C-000000576820221218094005000000
04LIDL                   30588636435000730180C-000000876520230908105045000000
04NOMINA IGGY            30588636435000730180C+000010800020230525105045000000
01BENITO CAMELAS                                           19961206K81712743T
02CALLE CROTOLAMO                    S/N78451ALMERIA         ROQUETAS DE MAR 
0395648702354810256320+0000001519T            5874256987123546+00000001220125
04CARREFOUR              5874256987123546    T-000000666620230118082305000000
04ADEUDO AQUALIA         95648702354810256320C-000000876520190925175649000000
04CEPSA                  5874256987123546    T-000000888820231213082305000000
04ADEUDO ENDESA          95648702354810256320C-000000999920231117082305000000
04ANOMINA BENITO         95648702354810256320C-000001980520230530145829000000
01BABY YODA                                                19991231978574639P
02CALLE PRINCESA                     00698642VALENCIA        CASABLANCA      
0385723674384892302938+0000899765C            1267436827387567+00005678920825
0312718376743756387839+0000238475T            2783278437346235+00000087431122
04MACDONAL               1267436827387567    T-000000159920231129125637000000
04GAME                   12718376743756387839C-000006789620210307092305000000
04PRIMARK                2783278437346235    T+000005560020200829105655000000
04LEROY MERLIN           85723674384892302938C-000017893420191208205432000000
04PRIMOR                 2783278437346235    T+000000487120200315092420000000
01CESAR ROBLEDO                                            19880309747568239X
0313928R74289892849384+0000089081A                                           
0309983872467374203238+0000234455C            2938834735754623+00004567821227
0312098475657432023355+0000000475T            0092383737423545+00000578930925
0399872364838433466432+0000984756C                                           
0311192838246984555449+0000000912T                                           
04VUELING                2938834735754623    T-000001456720201130563412476000
01EUSTAQUIO HABICHUELA                                     19660129284374368L
02CALLE DE LOS GATOS                 66632457TARRAGONA       PUEBLO MALDITO  
0383957485784993843573+0000043567T            1298293750202383+00000098731122
04KIWOKO                 1298293750202383    T-000000543620220523564215123000
04DECATHLON              83957485784993843573C-000000456820191230154500000000
